"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000040189",72.5400104260743,-0.59492150329529,0.210514572672572,-2.82603477632218,0.00471281471761105,0.0351830554085941,"Ccdc114","211535"
"ENSMUSG00000036362",583.517764447663,-0.638686645564161,0.105680884725214,-6.04353991949293,1.50769050059292e-09,6.76841728756108e-08,"P2ry13","74191"
"ENSMUSG00000036353",162.994540723223,-0.720722249410586,0.175819957841287,-4.09920613256649,4.14569685513904e-05,0.000698502928564863,"P2ry12","70839"
"ENSMUSG00000016255",38.8081562236217,-1.40508396536228,0.418449530040308,-3.35783377562147,0.000785558377228077,0.00867095707141684,"Tubb1","545486"
