,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000000001,4988.5473704766,0.0569777855810493,0.0343107622746369,1.66063887257813,0.0967859969245967,0.264615750157581,ENSMUSG00000000001,Gnai3
ENSMUSG00000000003,0,NA,NA,NA,NA,NA,ENSMUSG00000000003,Pbsn
ENSMUSG00000000031,0.344288212931978,-2.52401838173638,3.45310938329279,-0.730940755583465,0.464815340711776,NA,ENSMUSG00000000031,H19
ENSMUSG00000000037,43.2658587243923,0.770257498004166,0.321020650897053,2.39940170780844,0.0164218880409054,0.0699285917562457,ENSMUSG00000000037,Scml2
ENSMUSG00000000058,128.356719417074,0.392549723900159,0.169340938200684,2.31810292343457,0.0204437280756122,0.0831191350128995,ENSMUSG00000000058,Cav2
ENSMUSG00000000085,408.680470759755,0.214136707953904,0.094455106896348,2.26707390410231,0.0233857114245589,0.0921772567099401,ENSMUSG00000000085,Scmh1
ENSMUSG00000000131,2329.76950446748,-0.137680285259536,0.0504286043289033,-2.73020217576445,0.00632954950783711,0.0323593536968714,ENSMUSG00000000131,Xpo6
ENSMUSG00000000134,1113.7302436184,-0.216150731218892,0.0634215494367649,-3.40815910583212,0.000654027477677503,0.0048546369477093,ENSMUSG00000000134,Tfe3
ENSMUSG00000000148,480.035284613657,-0.0591393854877782,0.0894024007825261,-0.661496614969395,0.50829388473571,0.732084441509601,ENSMUSG00000000148,Brat1
ENSMUSG00000000149,1216.74567785113,-0.0804627692979084,0.0619015615703759,-1.29985039563873,0.193652249134986,0.418184312053557,ENSMUSG00000000149,Gna12
ENSMUSG00000000154,27.7241707655579,-0.611240694701423,0.368103630623564,-1.66051254008548,0.0968113872972352,0.264615750157581,ENSMUSG00000000154,Slc22a18
ENSMUSG00000000182,7.83772036079895,0.957078947905122,0.767148497431138,1.24757977250817,0.212184989827928,0.442100387607685,ENSMUSG00000000182,Fgf23
ENSMUSG00000000183,0,NA,NA,NA,NA,NA,ENSMUSG00000000183,Fgf6
ENSMUSG00000000184,2018.82409876187,-0.160166712249544,0.0543114480981706,-2.94904146102006,0.00318761208881021,0.0184032121254604,ENSMUSG00000000184,Ccnd2
ENSMUSG00000000194,1013.69953898394,-0.11609221081504,0.0666738021993502,-1.74119679672583,0.0816490885651664,0.235227784329122,ENSMUSG00000000194,Gpr107
ENSMUSG00000000214,0,NA,NA,NA,NA,NA,ENSMUSG00000000214,Th
ENSMUSG00000000215,0,NA,NA,NA,NA,NA,ENSMUSG00000000215,Ins2
ENSMUSG00000000216,0,NA,NA,NA,NA,NA,ENSMUSG00000000216,Scnn1g
ENSMUSG00000000223,18.0446097735835,0.539745465964457,0.43487165347352,1.24116037836282,0.21454650843605,0.445168547763563,ENSMUSG00000000223,Drp2
ENSMUSG00000000244,1434.41388715818,-0.392265624776223,0.0513095348559649,-7.64508245645537,2.08811474308788e-14,7.70996212832449e-13,ENSMUSG00000000244,Tspan32
ENSMUSG00000000247,0.907673923874209,0.909066100486296,2.42622798311224,0.374682885043718,0.707896322297746,NA,ENSMUSG00000000247,Lhx2
ENSMUSG00000000248,6.82123856192773,4.23482642625709,1.22244642325897,3.46422251779944,0.000531766438988596,0.00405871204316384,ENSMUSG00000000248,Clec2g
ENSMUSG00000000266,9.94229265425191,0.373053150734505,0.648487498052777,0.575266526887068,0.565111056031563,0.774272046322978,ENSMUSG00000000266,Mid2
ENSMUSG00000000295,282.740585067615,0.139580738478641,0.115635110477622,1.20707921583776,0.227401638301604,0.460344459917025,ENSMUSG00000000295,Hddc2
ENSMUSG00000000296,2.20501149777973,-0.0712446894900086,1.3358493897172,-0.0533328757256768,0.957466686425672,NA,ENSMUSG00000000296,Tpd52l1
ENSMUSG00000000305,0.0796451972477837,-1.01451475766584,4.40746334313912,-0.230181099349377,0.817951048099476,NA,ENSMUSG00000000305,Cdh4
ENSMUSG00000000308,0.911195185885488,0,4.40746334313912,0,1,NA,ENSMUSG00000000308,Ckmt1
ENSMUSG00000000339,450.201319848443,0.106881268059729,0.0954714910502962,1.11950978123324,0.262922720424344,0.502597790819358,ENSMUSG00000000339,Rtca
ENSMUSG00000000340,508.596082689549,0.0536268452159766,0.0826273171188081,0.649020772862172,0.516324949452864,0.740054340290768,ENSMUSG00000000340,Dbt
ENSMUSG00000000355,744.320645298043,0.0979291940964142,0.0771120976205084,1.26995889255085,0.20409927332088,0.4318926577253,ENSMUSG00000000355,Mcts1
ENSMUSG00000000359,0.646130413213671,-0.0527277346297761,2.63569405783533,-0.0200052561005813,0.984039179643581,NA,ENSMUSG00000000359,Rem1
ENSMUSG00000000392,2.76947051531557,-1.48453210893658,1.14393998724744,-1.29773600493561,0.194378066814466,NA,ENSMUSG00000000392,Fap
ENSMUSG00000000394,0,NA,NA,NA,NA,NA,ENSMUSG00000000394,Gcg
ENSMUSG00000000399,1251.73957685165,0.111426679987951,0.0623793502950781,1.78627509682067,0.0740547270242352,0.219271021757845,ENSMUSG00000000399,Ndufa9
ENSMUSG00000000402,1.01416337640565,-3.69680590816314,2.0364191483917,-1.81534627146025,0.0694707123302851,NA,ENSMUSG00000000402,Egfl6
ENSMUSG00000000409,63.9101732621168,0.229835969202214,0.231138129168654,0.994366312597907,0.320044562438851,0.565824640775868,ENSMUSG00000000409,Lck
ENSMUSG00000000411,0.919850614668391,-0.0380612203173723,1.8576655728357,-0.0204887364410121,0.983653497209852,NA,ENSMUSG00000000411,Tssk3
ENSMUSG00000000416,1.84225829614028,0.979432467691854,1.29966264742248,0.753605152563462,0.451086349473399,NA,ENSMUSG00000000416,Cttnbp2
ENSMUSG00000000439,363.446344212865,0.154184230764468,0.102019804060234,1.51131667213784,0.130707788204369,0.323997955881605,ENSMUSG00000000439,Mkrn2
ENSMUSG00000000440,204.175271417704,1.07458530426562,0.147463502324358,7.28712723709752,3.16633849953458e-13,1.02078972522309e-11,ENSMUSG00000000440,Pparg
ENSMUSG00000000441,1223.55716285685,0.0523030332949597,0.053775920308802,0.972610659094546,0.330746842999982,0.578588914800725,ENSMUSG00000000441,Raf1
ENSMUSG00000000486,989.154379877309,-1.16174054752789,0.0632220504318316,-18.3755594700385,2.06171111440731e-75,5.23917177308211e-73,ENSMUSG00000000486,Sept1
ENSMUSG00000000544,0.169713763516104,-1.88742167952223,4.3701179736201,-0.431892615008454,0.665819462434884,NA,ENSMUSG00000000544,Gpa33
ENSMUSG00000000560,0.0960699364652409,0,4.40746334313912,0,1,NA,ENSMUSG00000000560,Gabra2
ENSMUSG00000000561,384.354152675507,-0.104343732257939,0.108391382842749,-0.962657081415026,0.335719641615511,0.583146006759287,ENSMUSG00000000561,Wdr77
ENSMUSG00000000562,139.091888526317,-0.510029159481415,0.174288049250771,-2.92635761128734,0.00342956458928032,0.0196364731950841,ENSMUSG00000000562,Adora3
ENSMUSG00000000563,4287.14068135295,0.115471008909011,0.0431688183588039,2.67487073538259,0.00747580686342808,0.0373415979823046,ENSMUSG00000000563,Atp5f1
ENSMUSG00000000568,3452.52004605139,0.0913819461335109,0.0413747823062195,2.20863871759331,0.0271997800733433,0.103208651661698,ENSMUSG00000000568,Hnrnpd
ENSMUSG00000000600,1052.56352031035,-0.0211980819011803,0.0591665719275182,-0.358278014267058,0.720135269609297,0.872524011979291,ENSMUSG00000000600,Krit1
ENSMUSG00000000605,1056.59008408231,-0.0100734659888377,0.0632861137892856,-0.159173401330628,0.873532259330693,0.94922886688683,ENSMUSG00000000605,Clcn4
ENSMUSG00000000627,32.4817625275196,-2.32732604812389,0.357807184373793,-6.50441396864906,7.79968376504193e-11,1.9762248601162e-09,ENSMUSG00000000627,Sema4f
ENSMUSG00000000628,3979.1175454235,-0.115882845282871,0.0460938465511425,-2.51406324170181,0.0119349029842511,0.0541529617166897,ENSMUSG00000000628,Hk2
ENSMUSG00000000682,3264.77974926233,-0.3459576546472,0.0615927247632409,-5.61685906861633,1.94459902994298e-08,3.71710965015649e-07,ENSMUSG00000000682,Cd52
ENSMUSG00000000693,41.0779831417938,-0.872415945672985,0.288699917411472,-3.02187805765655,0.00251211725000436,0.0151146887465443,ENSMUSG00000000693,Loxl3
ENSMUSG00000000766,1.06013667716026,-2.49138598926304,1.95083585910582,-1.27708642304996,0.201571737600342,NA,ENSMUSG00000000766,Oprm1
ENSMUSG00000000787,11608.7681818166,0.123527883377732,0.0380307712674251,3.24810355564728,0.00116176979919691,0.00789747526755414,ENSMUSG00000000787,Ddx3x
ENSMUSG00000000794,272.729461569946,1.47681616762278,0.1196467235871,12.3431392297816,5.30465199519296e-35,6.03055174190358e-33,ENSMUSG00000000794,Kcnn3
ENSMUSG00000000811,121.669707351026,0.402157529877335,0.180677916013852,2.22582559479213,0.0260258657187143,0.0997907473128058,ENSMUSG00000000811,Txnrd3
ENSMUSG00000000817,0.499928065473991,-1.82407990120418,2.90890132608446,-0.627068331554404,0.53061444473349,NA,ENSMUSG00000000817,Fasl
ENSMUSG00000000823,567.277505008319,0.302650120594788,0.0816099602608641,3.70849488992979,0.000208494867335833,0.00178356005324911,ENSMUSG00000000823,Zfp512b
ENSMUSG00000000826,4522.41212290251,-0.044986851814442,0.0360445605048082,-1.24808989718271,0.2119981376295,0.442100387607685,ENSMUSG00000000826,Dnajc5
ENSMUSG00000000827,913.238334402814,0.047815883010727,0.0663576057799688,0.720578785938672,0.471168709858763,0.703831244815068,ENSMUSG00000000827,Tpd52l2
