"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008015","BP","GO:0008015","blood circulation","26/465","466/23239",2.97290414941342e-06,0.000189290381388433,0.000141261843546963,"Cpa3/Cd36/Apoe/Cacna1e/Mrvi1/Ada/Scn1b/Adora2a/Atp1b1/Eng/Enpep/Cd38/Ptpro/Csrp3/Mgll/Gucy1a1/Kcne3/Ptger3/C3ar1/Cftr/Pde3a/Klk1b11/Gja5/Cacnb2/Klk1b9/Kdr",26
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","21/465","330/23239",3.61956526040535e-06,0.00022691889901772,0.000169342899389653,"Ccl24/Mpl/Arg1/Irf7/Il6/Il18r1/Gpr35/Tnfrsf11a/Zbp1/Padi2/Ppbp/Pf4/Cxcl3/Irf5/Oas2/St18/Ackr1/Flt3/Ackr3/Txk/Ifitm6",21
"GO:0070098","BP","GO:0070098","chemokine-mediated signaling pathway","9/465","62/23239",3.77157847347594e-06,0.000232866398172946,0.00017378134306016,"Ccl24/Mpl/Gpr35/Padi2/Ppbp/Pf4/Cxcl3/Ackr1/Ackr3",9
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","25/465","445/23239",4.08505212558947e-06,0.000246031822648285,0.000183606312077725,"Apoe/Tnfaip3/Pkib/Adora2a/Il6/Snca/Atf3/Eng/Dab2ip/Plpp3/Ephb2/Prkag2/Errfi1/P2rx7/Prr5l/Spry1/Enpp1/Dusp8/Nlrp6/Ppp1r15a/Shb/Lax1/Fabp4/Prnp/Gbp4",25
"GO:0042107","BP","GO:0042107","cytokine metabolic process","12/465","117/23239",4.10556170308794e-06,0.000246031822648285,0.000183606312077725,"Fcer1a/Lbp/Irf7/Il6/Cd28/Prkcq/Prg3/Adam33/Tnfrsf8/Errfi1/Card11/Tlr1",12
"GO:0003013","BP","GO:0003013","circulatory system process","26/465","475/23239",4.19875816032503e-06,0.00024797013772934,0.000185052819606087,"Cpa3/Cd36/Apoe/Cacna1e/Mrvi1/Ada/Scn1b/Adora2a/Atp1b1/Eng/Enpep/Cd38/Ptpro/Csrp3/Mgll/Gucy1a1/Kcne3/Ptger3/C3ar1/Cftr/Pde3a/Klk1b11/Gja5/Cacnb2/Klk1b9/Kdr",26
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","17/465","232/23239",4.83251397459144e-06,0.000281321349235145,0.000209941847708191,"Ada/Il6/Cd28/Spta1/Il2ra/Prkcq/Itga6/Rasgrp1/Lef1/Plpp3/Pdpn/Itgal/Il2rg/Dpp4/Card11/Shb/Rag1",17
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response","18/465","258/23239",5.07882829099922e-06,0.000291496130786223,0.000217534987882828,"Loxl3/Fcer1a/Gata2/Slamf6/Lbp/Cd40/Ada/Tnfaip3/Il6/Cd28/Il18r1/Rasgrp1/Lef1/Cdh17/Lat/Itgal/Lat2/Shb",18
"GO:0045124","BP","GO:0045124","regulation of bone resorption","8/465","49/23239",5.31345506162189e-06,0.000300726796890406,0.000224423562471135,"Il6/Tnfrsf11a/Car2/Cd38/Spp1/P2rx7/S1pr1/Fcgr4",8
"GO:0042035","BP","GO:0042035","regulation of cytokine biosynthetic process","11/465","101/23239",5.76184530018352e-06,0.000321637254770519,0.000240028422094163,"Fcer1a/Lbp/Il6/Cd28/Prkcq/Prg3/Adam33/Tnfrsf8/Errfi1/Card11/Tlr1",11
"GO:0002263","BP","GO:0002263","cell activation involved in immune response","18/465","262/23239",6.28594455918643e-06,0.000345282271087072,0.000257674002239729,"Loxl3/Fcer1a/Gata2/Slamf6/Lbp/Cd40/Ada/Tnfaip3/Il6/Cd28/Il18r1/Rasgrp1/Lef1/Cdh17/Lat/Itgal/Lat2/Shb",18
"GO:0002761","BP","GO:0002761","regulation of myeloid leukocyte differentiation","12/465","122/23239",6.35488842491543e-06,0.000345282271087072,0.000257674002239729,"Gata2/Gfi1b/Fbn1/Car2/Zbtb46/Lef1/Tal1/Pf4/C1qc/Gpr55/Mafb/Cd101",12
"GO:0030217","BP","GO:0030217","T cell differentiation","18/465","264/23239",6.98138178456507e-06,0.000374330668053982,0.00027935196642117,"Loxl3/Slamf6/Ada/Il6/Cd28/Il18r1/Il2ra/Rasgrp1/Lef1/Tnfsf8/Il2rg/Card11/Fut7/Flt3/Shb/Txk/Rag1/Mafb",18
"GO:0050708","BP","GO:0050708","regulation of protein secretion","25/465","460/23239",7.26257702866736e-06,0.000384350667426227,0.000286829597208749,"Cd36/Cacna1e/Cd40/Tnfaip3/Adora2a/Il6/Il1rl1/Prkcq/Rasgrp1/Tnfrsf9/Cd38/P2rx7/Siglecg/Cd22/Atp13a2/Bank1/Ptger3/Cftr/Flt3/Tlr1/Nlrp10/Cyp2j6/Gja5/Tlr5/Lrrc32",25
"GO:0042129","BP","GO:0042129","regulation of T cell proliferation","14/465","168/23239",7.70801159200813e-06,0.000402694195351707,0.000300518832514325,"Sdc4/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Gpnmb/Itgal/Card11/Zc3h12d/Tarm1/Prnp/Lrrc32",14
"GO:0002218","BP","GO:0002218","activation of innate immune response","13/465","146/23239",7.91728751020526e-06,0.000405858823499201,0.00030288050141148,"Cd36/Lbp/Tnfaip3/Irf7/Dab2ip/Smpdl3b/Klrk1/Nlrp6/Tnip3/Tlr1/Rab7b/Tlr12/Tlr5",13
"GO:0045332","BP","GO:0045332","phospholipid translocation","6/465","25/23239",7.9677805840334e-06,0.000405858823499201,0.00030288050141148,"Abca1/Atp9a/Abca4/Atp8b5/P2rx7/Abcb4",6
"GO:0001818","BP","GO:0001818","negative regulation of cytokine production","17/465","242/23239",8.46193760483133e-06,0.00042570858937886,0.000317693797795422,"Mertk/Lbp/Tnfaip3/Arg1/Il6/Il1rl1/Lef1/Tnfrsf9/Errfi1/Gpnmb/Cd59a/Bank1/Cmklr1/Flt3/Prnp/Gbp4/Lrrc32",17
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","12/465","126/23239",8.87024862924171e-06,0.000440808087367805,0.00032896210898433,"Cd36/Lbp/Tnfaip3/Irf7/Dab2ip/Smpdl3b/Nlrp6/Tnip3/Tlr1/Rab7b/Tlr12/Tlr5",12
"GO:0034204","BP","GO:0034204","lipid translocation","6/465","26/23239",1.01838178378044e-05,0.000497403240416023,0.0003711974069259,"Abca1/Atp9a/Abca4/Atp8b5/P2rx7/Abcb4",6
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","15/465","196/23239",1.03418868911404e-05,0.000497403240416023,0.0003711974069259,"Fcer1a/Gata2/Lbp/Snca/Il1rl1/Batf3/Prg3/Rasgrp1/Klrk1/Lat/Lat2/Cftr/Tlr1/Fcgr4/Nectin2",15
"GO:1990868","BP","GO:1990868","response to chemokine","9/465","70/23239",1.04973444603136e-05,0.000497403240416023,0.0003711974069259,"Ccl24/Mpl/Gpr35/Padi2/Ppbp/Pf4/Cxcl3/Ackr1/Ackr3",9
"GO:1990869","BP","GO:1990869","cellular response to chemokine","9/465","70/23239",1.04973444603136e-05,0.000497403240416023,0.0003711974069259,"Ccl24/Mpl/Gpr35/Padi2/Ppbp/Pf4/Cxcl3/Ackr1/Ackr3",9
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","24/465","442/23239",1.12182492591642e-05,0.00052545247966775,0.000392129729095287,"Fcer1a/Mpl/Gata2/Lbp/Cd40/Ada/Il6/Cd28/Il1rl1/Spta1/Il2ra/Prkcq/Rasgrp1/Nfatc2/Cd38/Klrk1/Itgal/Il2rg/Dpp4/Card11/Cftr/Shb/Rag1/Nectin2",24
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis","14/465","174/23239",1.15251763767364e-05,0.000533694246990917,0.000398280317612337,"Ampd3/Mpl/Mertk/Gata2/Epb42/Alas2/Il6/Gfi1b/Tal1/Rhd/Gata1/Sox6/Hbb-b1/Mafb",14
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","17/465","249/23239",1.22940099240276e-05,0.000562899892588906,0.000420075631821595,"Cd36/Ccl24/Mertk/Il6/Pdgfa/Tnfrsf11a/Rasgrp1/Pdgfc/Ephb2/Gpnmb/St5/Flt3/Ackr3/P2ry6/Gpr55/Kdr/Chil1",17
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","22/465","387/23239",1.28347442861091e-05,0.00058112869962105,0.000433679254299054,"Loxl3/Cd79a/Mertk/Slamf6/Ada/Tnfaip3/Il6/Cd28/Il18r1/Il2ra/Rasgrp1/Lef1/Cdh17/Tnfsf8/Il2rg/Card11/Fut7/Flt3/Shb/Txk/Rag1/Mafb",22
"GO:0046632","BP","GO:0046632","alpha-beta T cell differentiation","11/465","111/23239",1.43442365898676e-05,0.00064233806707374,0.000479358004720965,"Loxl3/Slamf6/Ada/Il6/Il18r1/Lef1/Tnfsf8/Il2rg/Fut7/Shb/Txk",11
"GO:0042098","BP","GO:0042098","T cell proliferation","15/465","202/23239",1.48236436381678e-05,0.000656590737234061,0.000489994353211289,"Sdc4/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/P2rx7/Gpnmb/Itgal/Card11/Zc3h12d/Tarm1/Prnp/Lrrc32",15
"GO:0001894","BP","GO:0001894","tissue homeostasis","16/465","228/23239",1.57176529605439e-05,0.000688703610905555,0.000513959246214052,"Gata2/Rcn3/Il6/Tnfrsf11a/Car2/Ctsk/Abca4/Cd38/Spp1/P2rx7/Gata1/Flt3/S1pr1/Gpr55/Fcgr4/Kdr",16
"GO:0007596","BP","GO:0007596","blood coagulation","13/465","157/23239",1.73637435897814e-05,0.000752736756684673,0.000561745299337945,"Vwf/Cd36/Apoe/Mertk/Pdgfa/Prkcq/Pdpn/Pf4/Gp9/Gata1/Ptger3/Mmrn1/Gp6",13
"GO:0022408","BP","GO:0022408","negative regulation of cell-cell adhesion","14/465","181/23239",1.80157888535028e-05,0.000772782521873936,0.000576704864241214,"Loxl3/Sdc4/Tnfaip3/Arg1/Adora2a/Il2ra/Lef1/Gpnmb/Zc3h12d/Ptger3/Lax1/Tarm1/Prnp/Lrrc32",14
"GO:0007015","BP","GO:0007015","actin filament organization","22/465","396/23239",1.82963186344419e-05,0.000776640608701569,0.000579584040952879,"Rhoc/Ccl24/Eps8/Sdc4/Myo1b/Enah/Spta1/Prkcq/Neb/Tmod1/Fscn1/Add2/Fchsd2/Mical2/Lpar1/Hip1/Fhdc1/S1pr1/Nebl/Capg/Cdc42ep5/Marcks",22
"GO:0050671","BP","GO:0050671","positive regulation of lymphocyte proliferation","12/465","136/23239",1.93042903883107e-05,0.000810979209612024,0.000605209928723058,"Mpl/Cd40/Ada/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Cd38/Itgal/Card11",12
"GO:0007599","BP","GO:0007599","hemostasis","13/465","159/23239",1.98748576467838e-05,0.000826429029700447,0.000616739674989885,"Vwf/Cd36/Apoe/Mertk/Pdgfa/Prkcq/Pdpn/Pf4/Gp9/Gata1/Ptger3/Mmrn1/Gp6",13
"GO:0044070","BP","GO:0044070","regulation of anion transport","11/465","116/23239",2.17883507213338e-05,0.000868252148407038,0.000647951038230012,"Apoe/Arg1/Adora2a/Snca/Tnfrsf11a/Car2/P2rx7/Kmo/Cftr/Abcb4/Prnp",11
"GO:0050868","BP","GO:0050868","negative regulation of T cell activation","11/465","116/23239",2.17883507213338e-05,0.000868252148407038,0.000647951038230012,"Loxl3/Sdc4/Arg1/Adora2a/Il2ra/Gpnmb/Zc3h12d/Lax1/Tarm1/Prnp/Lrrc32",11
"GO:0046850","BP","GO:0046850","regulation of bone remodeling","8/465","59/23239",2.19365347395542e-05,0.000868252148407038,0.000647951038230012,"Il6/Tnfrsf11a/Car2/Cd38/Spp1/P2rx7/S1pr1/Fcgr4",8
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","15/465","209/23239",2.21620746253935e-05,0.000868252148407038,0.000647951038230012,"Fcer1a/Ada/Atp1b1/Nfatc2/Sla2/Siglecg/Cd22/Lat/Itgal/Lat2/Cmklr1/Ackr3/P2ry6/Kdr/Prnp",15
"GO:0032946","BP","GO:0032946","positive regulation of mononuclear cell proliferation","12/465","138/23239",2.23546249490749e-05,0.000868252148407038,0.000647951038230012,"Mpl/Cd40/Ada/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Cd38/Itgal/Card11",12
"GO:0035710","BP","GO:0035710","CD4-positive, alpha-beta T cell activation","10/465","96/23239",2.26820744789796e-05,0.000868252148407038,0.000647951038230012,"Loxl3/Slamf6/Il6/Il18r1/Prkcq/Lef1/Il2rg/Fut7/Shb/Tarm1",10
"GO:0045639","BP","GO:0045639","positive regulation of myeloid cell differentiation","10/465","96/23239",2.26820744789796e-05,0.000868252148407038,0.000647951038230012,"Mpl/Gata2/Gfi1b/Car2/Lef1/Tal1/Pf4/Gata1/Rab7b/Cd101",10
"GO:0050817","BP","GO:0050817","coagulation","13/465","161/23239",2.26987078556848e-05,0.000868252148407038,0.000647951038230012,"Vwf/Cd36/Apoe/Mertk/Pdgfa/Prkcq/Pdpn/Pf4/Gp9/Gata1/Ptger3/Mmrn1/Gp6",13
"GO:0002260","BP","GO:0002260","lymphocyte homeostasis","9/465","77/23239",2.30149081884879e-05,0.000868252148407038,0.000647951038230012,"Ada/Tnfaip3/Spta1/Il2ra/P2rx7/Lat/Chst3/Rag1/Gpr174",9
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","21/465","373/23239",2.32337848141109e-05,0.000868252148407038,0.000647951038230012,"Cd36/Ggt1/Abca1/Lbp/Tnfaip3/Il6/Snca/Tnfrsf11a/Mrc1/Dab2ip/Ppbp/Pf4/Cxcl3/P2rx7/Irf5/Klrk1/Spon2/Ptger3/Tnip3/Tlr1/Fcgr4",21
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","23/465","432/23239",2.32541374053292e-05,0.000868252148407038,0.000647951038230012,"Loxl3/Fcer1a/Slamf6/Cd40/Ada/Tnfaip3/Arg1/Irf7/Il6/Cd28/Il1rl1/Il18r1/Cd55/Prkcq/Lef1/P2rx7/Dpp4/C1qa/C1qc/C1qb/C3ar1/Nlrp10/Nectin2",23
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","15/465","210/23239",2.34374813066931e-05,0.000868252148407038,0.000647951038230012,"Ccl24/Lbp/Gpr35/Padi2/Spp1/Ppbp/Pf4/Cxcl3/Klrk1/Ptpro/Camk1d/C3ar1/Cmklr1/S1pr1/Slamf8",15
"GO:0009615","BP","GO:0009615","response to virus","17/465","262/23239",2.36991360154522e-05,0.000870035849215927,0.000649282161675121,"Htra1/Cd40/Irf7/Il6/Batf3/Il2ra/Zbp1/Oasl2/Irf5/Itgax/Oas3/Oas2/Spon2/Isg20/Flt3/Ifitm6/Gbp4",17
"GO:0030168","BP","GO:0030168","platelet activation","9/465","78/23239",2.55622597567408e-05,0.00092284187572243,0.000688689745937902,"Vwf/Apoe/Mertk/Pdgfa/Prkcq/Pdpn/Pf4/Gata1/Ptger3",9
"GO:1990266","BP","GO:1990266","neutrophil migration","11/465","118/23239",2.5590461829849e-05,0.00092284187572243,0.000688689745937902,"Ccl24/Mcoln2/Lbp/Spp1/Ppbp/Pf4/Cxcl3/Camk1d/Ptger3/C3ar1/Slamf8",11
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","13/465","163/23239",2.58678026312315e-05,0.000924660488791829,0.000690046923376065,"Ada/Il6/Il2ra/Gfi1b/Rasgrp1/Car2/Zbtb46/Lef1/Pf4/Il2rg/Shb/Rag1/Cd101",13
"GO:0045637","BP","GO:0045637","regulation of myeloid cell differentiation","15/465","212/23239",2.61842631688842e-05,0.000927833673158288,0.000692414977527748,"Mpl/Gata2/Gfi1b/Fbn1/Car2/Zbtb46/Lef1/Tal1/Pf4/Gata1/C1qc/Gpr55/Rab7b/Mafb/Cd101",15
"GO:0002791","BP","GO:0002791","regulation of peptide secretion","25/465","498/23239",2.76361872693106e-05,0.000970840199331385,0.000724509482949531,"Cd36/Cacna1e/Cd40/Tnfaip3/Adora2a/Il6/Il1rl1/Prkcq/Rasgrp1/Tnfrsf9/Cd38/P2rx7/Siglecg/Cd22/Atp13a2/Bank1/Ptger3/Cftr/Flt3/Tlr1/Nlrp10/Cyp2j6/Gja5/Tlr5/Lrrc32",25
"GO:0015914","BP","GO:0015914","phospholipid transport","8/465","61/23239",2.81324667107464e-05,0.000979827366207622,0.000731216341226689,"Apoe/Abca1/Pltp/Atp9a/Abca4/Atp8b5/P2rx7/Abcb4",8
"GO:0031952","BP","GO:0031952","regulation of protein autophosphorylation","7/465","45/23239",2.8865663595879e-05,0.000996843891128871,0.000743915273224749,"Pdgfa/Eng/Pdgfc/Errfi1/Gpnmb/Tnks1bp1/Enpp1",7
"GO:0050848","BP","GO:0050848","regulation of calcium-mediated signaling","10/465","99/23239",2.97018549715568e-05,0.00100862549174245,0.000752707535200241,"Fcer1a/Ada/Sla2/Siglecg/Cd22/Itgal/Cmklr1/P2ry6/Kdr/Prnp",10
"GO:1902106","BP","GO:1902106","negative regulation of leukocyte differentiation","10/465","99/23239",2.97018549715568e-05,0.00100862549174245,0.000752707535200241,"Loxl3/Gata2/Tmem176a/Fbn1/Zbtb46/Tmem176b/C1qc/Flt3/Gpr55/Mafb",10
"GO:0006469","BP","GO:0006469","negative regulation of protein kinase activity","14/465","190/23239",3.09621224301078e-05,0.00104033170196195,0.000776368947231017,"Apoe/Tnfaip3/Pkib/Adora2a/Il6/Dab2ip/Ephb2/Prkag2/Errfi1/Spry1/Dusp8/Shb/Lax1/Fabp4",14
"GO:0046942","BP","GO:0046942","carboxylic acid transport","18/465","295/23239",3.11461270280633e-05,0.00104033170196195,0.000776368947231017,"Cd36/Apoe/Slc13a3/Slc6a8/Arg1/Adora2a/Snca/Slc16a14/Tnfrsf11a/Slc43a1/Slc6a9/P2rx7/Slco2b1/Slc38a5/Kmo/Abcb4/Slc26a1/Fabp4",18
"GO:0015849","BP","GO:0015849","organic acid transport","18/465","296/23239",3.25626022702176e-05,0.00107880166057835,0.000805077945730926,"Cd36/Apoe/Slc13a3/Slc6a8/Arg1/Adora2a/Snca/Slc16a14/Tnfrsf11a/Slc43a1/Slc6a9/P2rx7/Slco2b1/Slc38a5/Kmo/Abcb4/Slc26a1/Fabp4",18
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","12/465","144/23239",3.41608430221075e-05,0.00111918322493022,0.000835213519360257,"Mpl/Cd40/Ada/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Cd38/Itgal/Card11",12
"GO:0051607","BP","GO:0051607","defense response to virus","15/465","217/23239",3.43307737708655e-05,0.00111918322493022,0.000835213519360257,"Htra1/Cd40/Irf7/Il6/Il2ra/Zbp1/Oasl2/Irf5/Itgax/Oas3/Oas2/Spon2/Isg20/Ifitm6/Gbp4",15
"GO:0002706","BP","GO:0002706","regulation of lymphocyte mediated immunity","14/465","192/23239",3.4758241284941e-05,0.00112412566060424,0.000838901913719253,"Fcer1a/Slamf6/Cd40/Arg1/Il6/Cd28/Il18r1/Cd55/Rasgrp1/P2rx7/Klrk1/Dpp4/Nectin2/Klrb1b",14
"GO:0042832","BP","GO:0042832","defense response to protozoan","6/465","32/23239",3.62078624069741e-05,0.00116178771108992,0.000867007994146277,"Cd40/Arg1/Il6/Gbp9/Pf4/Tlr12",6
"GO:0097530","BP","GO:0097530","granulocyte migration","12/465","145/23239",3.65804261344203e-05,0.00116457216013877,0.000869085946565297,"Ccl24/Mcoln2/Lbp/Spp1/Ppbp/Pf4/Cxcl3/Camk1d/Ptger3/C3ar1/Cmklr1/Slamf8",12
"GO:0051092","BP","GO:0051092","positive regulation of NF-kappaB transcription factor activity","11/465","123/23239",3.76946291387984e-05,0.00119074119178762,0.000888615125108026,"Cd36/Cd40/Il18r1/Tnfrsf11a/Traf5/Prkcq/Traf1/Tnfrsf8/Card11/Rab7b/Capn3",11
"GO:0051899","BP","GO:0051899","membrane depolarization","9/465","82/23239",3.82820912092836e-05,0.0011999963205987,0.000895521955494902,"Scn1b/Adora2a/Fhl1/P2rx7/Gja5/Scn3a/Cacnb2/Kdr/Cnga1",9
"GO:0050707","BP","GO:0050707","regulation of cytokine secretion","14/465","195/23239",4.12174372657939e-05,0.00128214547219932,0.000956827450870861,"Cd36/Tnfaip3/Il6/Il1rl1/Rasgrp1/Tnfrsf9/P2rx7/Bank1/Flt3/Tlr1/Nlrp10/Cyp2j6/Tlr5/Lrrc32",14
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production","12/465","147/23239",4.18688182812121e-05,0.00129254117042378,0.000964585454660461,"Cd36/Lbp/Tnfaip3/Rasgrp1/Tnfrsf8/Errfi1/Pf4/Gpnmb/Spon2/Flt3/Tlr1/Cyp2j6",12
"GO:0034103","BP","GO:0034103","regulation of tissue remodeling","9/465","83/23239",4.21884596857751e-05,0.00129261633999649,0.000964641551501419,"Il6/Tnfrsf11a/Car2/Cd38/Spp1/P2rx7/Gpnmb/S1pr1/Fcgr4",9
"GO:0042108","BP","GO:0042108","positive regulation of cytokine biosynthetic process","8/465","65/23239",4.49687185543268e-05,0.00136751886648419,0.00102053910371917,"Fcer1a/Lbp/Cd28/Prkcq/Prg3/Tnfrsf8/Card11/Tlr1",8
"GO:0032640","BP","GO:0032640","tumor necrosis factor production","12/465","149/23239",4.78071799141178e-05,0.00143245778051493,0.00106900110504556,"Cd36/Lbp/Tnfaip3/Rasgrp1/Tnfrsf8/Errfi1/Pf4/Gpnmb/Spon2/Flt3/Tlr1/Cyp2j6",12
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","12/465","149/23239",4.78071799141178e-05,0.00143245778051493,0.00106900110504556,"Cd36/Lbp/Tnfaip3/Rasgrp1/Tnfrsf8/Errfi1/Pf4/Gpnmb/Spon2/Flt3/Tlr1/Cyp2j6",12
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","14/465","198/23239",4.87043698878826e-05,0.00144868837440235,0.00108111351983168,"Ccl24/Mcoln2/Lbp/Gpr35/Spp1/Ppbp/Pf4/Cxcl3/Ptpro/Camk1d/Ptger3/C3ar1/Cmklr1/Slamf8",14
"GO:1903038","BP","GO:1903038","negative regulation of leukocyte cell-cell adhesion","11/465","128/23239",5.44381247653636e-05,0.00160750259723809,0.00119963190272415,"Loxl3/Sdc4/Arg1/Adora2a/Il2ra/Gpnmb/Zc3h12d/Lax1/Tarm1/Prnp/Lrrc32",11
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","12/465","152/23239",5.80778679708499e-05,0.00170264253223894,0.00127063203762049,"Cd36/Lbp/Tnfaip3/Rasgrp1/Tnfrsf8/Errfi1/Pf4/Gpnmb/Spon2/Flt3/Tlr1/Cyp2j6",12
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","16/465","256/23239",6.40019771191988e-05,0.00186291469114811,0.00139023843531854,"Cd36/Fcer1a/Gata2/Slamf6/Lbp/Cd40/Arg1/Il6/Cd28/Il18r1/Rasgrp1/P2rx7/Klrk1/Spon2/Shb/Nectin2",16
"GO:1903707","BP","GO:1903707","negative regulation of hemopoiesis","12/465","154/23239",6.59383950437838e-05,0.00190566638158453,0.00142214276432618,"Loxl3/Gata2/Tmem176a/Fbn1/Zbtb46/Tal1/Pf4/Tmem176b/C1qc/Flt3/Gpr55/Mafb",12
"GO:0042100","BP","GO:0042100","B cell proliferation","10/465","109/23239",6.80674122458887e-05,0.00195334299226758,0.00145772241644457,"Cd79a/Cd40/Ada/Nfatc2/Lef1/Cd38/Siglecg/Cd22/Card11/Shb",10
"GO:0001562","BP","GO:0001562","response to protozoan","6/465","36/23239",7.27333940006842e-05,0.00205825403161658,0.0015360144390934,"Cd40/Arg1/Il6/Gbp9/Pf4/Tlr12",6
"GO:0097028","BP","GO:0097028","dendritic cell differentiation","6/465","36/23239",7.27333940006842e-05,0.00205825403161658,0.0015360144390934,"Tmem176a/Batf3/Zbtb46/Tmem176b/Gata1/Flt3",6
"GO:0042130","BP","GO:0042130","negative regulation of T cell proliferation","8/465","70/23239",7.70889756089054e-05,0.00216646603866407,0.00161676987683577,"Sdc4/Arg1/Il2ra/Gpnmb/Zc3h12d/Tarm1/Prnp/Lrrc32",8
"GO:0014066","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","9/465","90/23239",8.014285227431e-05,0.00223686385628639,0.00166930569733584,"Pdgfa/Cd28/Dab2ip/Rasgrp1/Pdgfc/Prr5l/Ptpn13/Ppp1r16b/Kdr",9
"GO:0034341","BP","GO:0034341","response to interferon-gamma","11/465","134/23239",8.26212106583373e-05,0.00229034988729745,0.00170922074895766,"Ccl24/Arg1/Snca/Mrc1/Gbp9/Gbp8/Rab7b/Txk/Capg/Ifitm6/Gbp4",11
"GO:0019934","BP","GO:0019934","cGMP-mediated signaling","6/465","37/23239",8.53557352604382e-05,0.00231586322775962,0.00172826060445529,"Cd36/Apoe/Aqp1/Mrvi1/Gucy1b1/Pde3a",6
"GO:0030851","BP","GO:0030851","granulocyte differentiation","6/465","37/23239",8.53557352604382e-05,0.00231586322775962,0.00172826060445529,"Gata2/Gfi1b/Zbtb46/Lef1/Gata1/C1qc",6
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","20/465","378/23239",8.5472765483376e-05,0.00231586322775962,0.00172826060445529,"Rhoc/Ccl24/Eps8/Sdc4/Spta1/Prkcq/Neb/Tmod1/Pdpn/Fscn1/Add2/Csrp3/Fchsd2/Kcne3/Lpar1/Ptger3/S1pr1/Capg/Gja5/Cdc42ep5",20
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","13/465","183/23239",8.5814809175878e-05,0.00231586322775962,0.00172826060445529,"Ada/Il6/Cd28/Spta1/Il2ra/Prkcq/Rasgrp1/Itgal/Il2rg/Dpp4/Card11/Shb/Rag1",13
"GO:0051091","BP","GO:0051091","positive regulation of DNA-binding transcription factor activity","15/465","236/23239",8.92354425941074e-05,0.00239233176691439,0.00178532682586133,"Cd36/Cd40/Il6/Il18r1/Tnfrsf11a/Traf5/Prkcq/Traf1/Plpp3/Tnfrsf8/Csrp3/Card11/Camk1d/Rab7b/Capn3",15
"GO:0033673","BP","GO:0033673","negative regulation of kinase activity","14/465","210/23239",9.18507077647114e-05,0.00243178050194215,0.00181476625640578,"Apoe/Tnfaip3/Pkib/Adora2a/Il6/Dab2ip/Ephb2/Prkag2/Errfi1/Spry1/Dusp8/Shb/Lax1/Fabp4",14
"GO:0010038","BP","GO:0010038","response to metal ion","16/465","264/23239",9.19004165151143e-05,0.00243178050194215,0.00181476625640578,"Cp/Aqp1/Rasa4/Slc30a4/Snca/Lct/Syt13/Alad/Slc30a2/P2rx7/Atp13a2/Pklr/Dlg2/Fabp4/Prnp/Capn3",16
"GO:0048821","BP","GO:0048821","erythrocyte development","6/465","38/23239",9.96615959742395e-05,0.00262013550706468,0.00195533005616012,"Epb42/Tal1/Rhd/Gata1/Sox6/Hbb-b1",6
"GO:0015850","BP","GO:0015850","organic hydroxy compound transport","15/465","239/23239",0.000102743096275376,0.00268383408539844,0.00200286643144103,"Cd36/Apoe/Aqp1/Fcer1a/Abca1/Pltp/Adora2a/Snca/Syt13/Spp1/Slco2b1/Ttc39b/Ptger3/Cftr/Abcb4",15
