"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis","31/465","460/23239",4.60512360947699e-09,1.4187180234752e-06,1.05874752852951e-06,"Cd36/Apoe/Gata2/Cd40/Micu1/Snca/Gpr35/Atp1b1/Cd38/Cxcl3/P2rx7/Kel/Csrp3/Cd19/Atp13a2/Tgm2/Lpar1/Ptger3/C3ar1/Cmklr1/Ackr3/S1pr1/Gpr157/P2ry6/Gpr55/P2ry10/Kdr/Cnga1/Gpr174/Prnp/Capn3",31
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","21/465","223/23239",4.99921461266092e-09,1.4187180234752e-06,1.05874752852951e-06,"Mpl/Sdc4/Cd40/Ada/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Cd38/Gpnmb/Siglecg/Cd22/Itgal/Card11/Zc3h12d/Tarm1/Prnp/Lrrc32",21
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","25/465","313/23239",5.22227493303755e-09,1.4187180234752e-06,1.05874752852951e-06,"Ampd3/Mpl/Mertk/Gata2/Ada/Tnfaip3/Epb42/Alas2/Il6/Spta1/Il2ra/Gfi1b/Tal1/Rhd/P2rx7/Lat/Gata1/Card11/Flt3/Sox6/Hbb-b1/Chst3/Rag1/Gpr174/Mafb",25
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","21/465","225/23239",5.86435134957206e-09,1.49357698434413e-06,1.11461256900748e-06,"Mpl/Sdc4/Cd40/Ada/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Cd38/Gpnmb/Siglecg/Cd22/Itgal/Card11/Zc3h12d/Tarm1/Prnp/Lrrc32",21
"GO:0060326","BP","GO:0060326","cell chemotaxis","24/465","295/23239",7.40969228670835e-09,1.74717825718184e-06,1.30386773910193e-06,"Ccl24/Lbp/Gpr35/Prkcq/Eng/Lef1/Padi2/Spp1/Ppbp/Pf4/Cxcl3/Klrk1/Ptpro/Plxnb3/Lpar1/Camk1d/Plekhg5/Saa3/C3ar1/Cmklr1/Ackr3/S1pr1/Slamf8/Kdr",24
"GO:0050863","BP","GO:0050863","regulation of T cell activation","24/465","296/23239",7.91625916418409e-09,1.74717825718184e-06,1.30386773910193e-06,"Loxl3/Sdc4/Ada/Arg1/Adora2a/Il6/Cd28/Spta1/Il2ra/Prkcq/Rasgrp1/Gpnmb/Lat/Itgal/Il2rg/Dpp4/Card11/Zc3h12d/Shb/Lax1/Tarm1/Rag1/Prnp/Lrrc32",24
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway","30/465","445/23239",8.14635261017299e-09,1.74717825718184e-06,1.30386773910193e-06,"Cd36/Cd79a/Lbp/Cd40/Ada/Tnfaip3/Irf7/Cd28/Dab2ip/Nfatc2/Ermap/Smpdl3b/Cd38/Klrk1/Cd19/Nlrp6/C3ar1/Lat2/Cmklr1/Tnip3/Shb/Tlr1/Lax1/Rab7b/Txk/Nectin2/Tlr12/Skint3/Prnp/Tlr5",30
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","23/465","277/23239",1.04055812940524e-08,2.05950884357202e-06,1.53695086834474e-06,"Loxl3/Sdc4/Ada/Arg1/Adora2a/Il6/Cd28/Spta1/Il2ra/Prkcq/Rasgrp1/Gpnmb/Itgal/Il2rg/Dpp4/Card11/Zc3h12d/Shb/Lax1/Tarm1/Rag1/Prnp/Lrrc32",23
"GO:0055074","BP","GO:0055074","calcium ion homeostasis","31/465","477/23239",1.07680603606491e-08,2.05950884357202e-06,1.53695086834474e-06,"Cd36/Apoe/Gata2/Cd40/Micu1/Snca/Gpr35/Atp1b1/Cd38/Cxcl3/P2rx7/Kel/Csrp3/Cd19/Atp13a2/Tgm2/Lpar1/Ptger3/C3ar1/Cmklr1/Ackr3/S1pr1/Gpr157/P2ry6/Gpr55/P2ry10/Kdr/Cnga1/Gpr174/Prnp/Capn3",31
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","29/465","425/23239",1.11188207505729e-08,2.05950884357202e-06,1.53695086834474e-06,"Cd36/Fcer1a/Mcoln2/Slamf6/Lbp/Cd40/Irf7/Il6/Cd28/Il1rl1/Il18r1/Prkcq/Prg3/Rasgrp1/Tnfrsf8/Pf4/P2rx7/Klrk1/Card11/Spon2/C3ar1/Flt3/Tlr1/Nlrp10/Rab7b/Cyp2j6/Tarm1/Txk/Tlr5",29
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","21/465","234/23239",1.17645098750694e-08,2.08436424960468e-06,1.55549972673114e-06,"Mpl/Sdc4/Cd40/Ada/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Cd38/Gpnmb/Siglecg/Cd22/Itgal/Card11/Zc3h12d/Tarm1/Prnp/Lrrc32",21
"GO:0002697","BP","GO:0002697","regulation of immune effector process","28/465","405/23239",1.50924306925006e-08,2.47069788771538e-06,1.84380915663151e-06,"Loxl3/Cd36/Fcer1a/Htra1/Gata2/Slamf6/Lbp/Cd40/Tnfaip3/Arg1/Il6/Cd28/Il18r1/Cd55/Il2ra/Rasgrp1/P2rx7/Klrk1/Siglecg/Cd22/Cd59a/Dpp4/Spon2/Shb/Slamf8/Nectin2/Klrb1b/Gbp4",28
"GO:0002757","BP","GO:0002757","immune response-activating signal transduction","29/465","431/23239",1.51576557528551e-08,2.47069788771538e-06,1.84380915663151e-06,"Cd36/Cd79a/Lbp/Ada/Tnfaip3/Irf7/Cd28/Dab2ip/Nfatc2/Ermap/Smpdl3b/Cd38/Klrk1/Cd19/Nlrp6/C3ar1/Lat2/Cmklr1/Tnip3/Shb/Tlr1/Lax1/Rab7b/Txk/Nectin2/Tlr12/Skint3/Prnp/Tlr5",29
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","24/465","310/23239",1.93845022102193e-08,3.03814794256322e-06,2.26728044070136e-06,"Loxl3/Sdc4/Ada/Arg1/Adora2a/Il6/Cd28/Spta1/Il2ra/Prkcq/Rasgrp1/Gpnmb/Add2/Itgal/Il2rg/Dpp4/Card11/Zc3h12d/Shb/Lax1/Tarm1/Rag1/Prnp/Lrrc32",24
"GO:0051482","BP","GO:0051482","positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway","9/465","36/23239",2.77423596866569e-08,4.18704132307877e-06,3.12466577523398e-06,"Gpr35/Tgm2/Lpar1/C3ar1/S1pr1/Gpr157/Gpr55/P2ry10/Gpr174",9
