"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04540","mmu04540","Gap junction","1/3","86/8278",0.0308479648871904,0.0855724424873546,0.0450381276249235,"545486",1
"mmu04611","mmu04611","Platelet activation","1/3","124/8278",0.0442738673688213,0.0855724424873546,0.0450381276249235,"70839",1
"mmu04145","mmu04145","Phagosome","1/3","181/8278",0.0641793318655159,0.0855724424873546,0.0450381276249235,"545486",1
