"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000027800",46.8528434311057,-0.87991688730364,0.28938264169498,-3.04066920582993,0.00236053014646578,0.021571938685735,"Tm4sf1","17112"
"ENSMUSG00000030672",47.0785552455085,-0.617686852199593,0.253858684198915,-2.43319173479838,0.0149663733415411,0.0885847503188513,"Mylpf","17907"
"ENSMUSG00000031379",45.6317339829734,-0.64418300079258,0.267813065397337,-2.40534568332895,0.0161571741851863,0.093116345961995,"Pir","69656"
"ENSMUSG00000031388",352.953157479083,-0.517914742954535,0.1027124539773,-5.04237531963746,4.59788336528812e-07,1.64878484186823e-05,"Naa10","56292"
"ENSMUSG00000034059",46.3509193224432,-0.692356458855823,0.240443428356228,-2.8794983651209,0.00398308363017788,0.0328283183067887,"Ypel4","241525"
"ENSMUSG00000054641",97.2198314103047,-0.511345857391727,0.176918898124731,-2.89028398216237,0.00384893956063741,0.0319806197639954,"Mmrn1","70945"
"ENSMUSG00000059108",4509.2331952886,-0.511779147493453,0.0463417051096494,-11.0435976898677,2.35414528274522e-28,2.40593647896561e-25,"Ifitm6","213002"
